#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
1,SIC250313,山景服務處|(S),興趣班組|(IC),兒童武術班(優惠課程) |(SIC250313),2025-12-09 (開始)|2025-12-30 (結束),17:30 (開始)|18:30 (結束),二,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),10 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 0
2,SIC260007,山景服務處|(S),興趣班組|(IC),中國水墨畫|(SIC260007),2026-01-13 (開始)|2026-03-10 (結束),10:00 (開始)|11:30 (結束),二,8 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 0
3,SIC250312,山景服務處|(S),興趣班組|(IC),成人羽毛球B(優惠課程)|(SIC250312),2025-12-16 (開始)|2026-01-06 (結束),14:00 (開始)|16:00 (結束),二,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,禮堂|(SK1),6 人,$320.00 (課程)|$420.00 (非會員)|,,學生數: 0
4,SIC250311,山景服務處|(S),興趣班組|(IC),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),2025-12-18 (開始)|2026-02-05 (結束),17:30 (開始)|18:30 (結束),四,6 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$560.00 (課程)|$660.00 (非會員)|,,學生數: 1
5,SIC260006,山景服務處|(S),興趣班組|(IC),成人拉丁舞|(SIC260006),2026-01-06 (開始)|2026-03-03 (結束),20:30 (開始)|21:45 (結束),二,8 (堂數)|1 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 0
6,SIC260005,山景服務處|(S),興趣班組|(IC),養生詠春拳進階班(優惠課程)|(SIC260005),2026-02-02 (開始)|2026-03-23 (結束),15:30 (開始)|16:30 (結束),一,8 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$80.00 (課程)|$180.00 (非會員)|,,學生數: 0
7,SIC250310,山景服務處|(S),興趣班組|(IC),蘇州鼓|(SIC250310),2025-12-29 (開始)|2026-02-16 (結束),09:00 (開始)|10:00 (結束),一,8 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),13 人,$160.00 (課程)|$260.00 (非會員)|,,學生數: 0
8,SIC250309,山景服務處|(S),興趣班組|(IC),跆拳道班(優惠課程)|(SIC250309),2025-12-05 (開始)|2025-12-19 (結束),17:30 (開始)|18:30 (結束),五,3 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$225.00 (課程)|$325.00 (非會員)|,,學生數: 2
9,SIC260004,山景服務處|(S),興趣班組|(IC),合唱團表演班|(SIC260004),2026-01-02 (開始)|2026-03-06 (結束),10:00 (開始)|12:00 (結束),五,10 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,龍逸社區會堂會議室|(SK6),20 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 1
10,SFP250028,山景服務處|(S),活動|(E),(代收瞳心協會)平安鐘講座暨長者茶聚|(SFP250028),2025-11-24 (開始)|2025-11-24 (結束),14:30 (開始)|16:00 (結束),一,1 (堂數)|0 (停課)|1 小時 30 分 (時長)|,是,嘉年華海鮮酒家 (良景邨良景商場三樓305-306),,120 人,$0.00 (課程)|$100.00 (非會員)|,,學生數: 104
