A_课程名称,B_课程名称,导师,名称相似度,主体名称得分,逢星期得分,時間得分,收費得分,堂數得分,上限得分,总分,是否匹配
(教材費)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250306),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,0.3556,21.33,0,0,0,0,0,21.33,否（相似度過低）
(教材費)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250306),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,0.9126,54.76,12,10,0,0,0,76.76,否
(教材費)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250306),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,0.9126,54.76,12,10,0,0,0,76.76,否
合唱團表演班|(SIC250302),合唱團表演班|(SIC260004),,0.8333,50,12,10,0,0,0,72,否
普通話會話班|(SIC250296),峰林雲城五天團|(SFP250026),,0.4865,29.19,0,0,0,0,0,29.19,否（相似度過低）
普通話會話班|(SIC250296),中童峰林雲城五天團|(SFP250025),,0.4103,24.62,0,0,0,0,0,24.62,否（相似度過低）
普通話會話班|(SIC250296),(袁小虹)峰林雲城五天團|(SFP250024),,0.381,22.86,0,0,0,0,0,22.86,否（相似度過低）
普通話會話班|(SIC250296),(陳雪英梁燕芳)峰林雲城五天團|(SFP250021),,0.3556,21.33,0,0,0,0,0,21.33,否（相似度過低）
普通話會話班|(SIC250296),峰林雲城五天團|(SFP250020),,0.4324,25.95,0,0,0,0,0,25.95,否（相似度過低）
成人羽毛球B(優惠課程)|(SIC250292),成人羽毛球B(優惠課程)|(SIC250312),,0.9167,55,12,10,8,6,4,95,是
成人羽毛球B(優惠課程)|(SIC250292),兒童硬筆書法班(優惠課程)|(SIC250298),,0.6939,41.63,0,0,0,0,0,41.63,否（相似度過低）
成人羽毛球B(優惠課程)|(SIC250292),(舊生優先)成人羽毛球A(優惠課程)|(SIC250282),,0.8148,48.89,0,0,0,0,0,48.89,否（相似度過低）
兒童武術班(優惠課程) |(SIC250290),養生佛掌拳班(長者)(優惠課程)|(SIC250289),,0.6923,41.54,0,0,0,0,0,41.54,否（相似度過低）
兒童珠心算B|(SIC250283),兒童珠心算A|(SIC250301),,0.8333,50,12,0,8,6,4,80,否
兒童國畫班(優惠課程)|(SIC250279),成人羽毛球B(優惠課程)|(SIC250312),,0.6809,40.85,0,0,0,0,0,40.85,否（相似度過低）
兒童國畫班(優惠課程)|(SIC250279),兒童硬筆書法班(優惠課程)|(SIC250298),,0.8333,50,12,0,8,6,4,80,否
兒童國畫班(優惠課程)|(SIC250279),(舊生優先)成人羽毛球A(優惠課程)|(SIC250282),,0.6038,36.23,0,0,0,0,0,36.23,否（相似度過低）
兒童硬筆書法班(優惠課程)|(SIC250278),成人羽毛球B(優惠課程)|(SIC250312),,0.6531,39.18,0,0,0,0,0,39.18,否（相似度過低）
兒童硬筆書法班(優惠課程)|(SIC250278),兒童硬筆書法班(優惠課程)|(SIC250298),,0.96,57.6,12,10,8,6,4,97.6,是
兒童硬筆書法班(優惠課程)|(SIC250278),(舊生優先)成人羽毛球A(優惠課程)|(SIC250282),,0.6182,37.09,0,0,0,0,0,37.09,否（相似度過低）
(新生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第一期)|(SIC250277),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,0.3371,20.22,0,0,0,0,0,20.22,否（相似度過低）
(新生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第一期)|(SIC250277),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,0.902,54.12,12,10,8,0,4,88.12,是
(新生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第一期)|(SIC250277),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,0.9216,55.29,12,10,8,0,0,85.29,是
(只限仁濟幼稚園)兒童跆拳道課程|(SIC250275),跆拳道班(優惠課程)|(SIC250309),,0.56,33.6,0,0,0,0,0,33.6,否（相似度過低）
(舊生優先)成人毛筆書法課程-初班|(SIC250270),成人毛筆書法課程-入門班|(SIC250269),,0.7547,45.28,0,0,0,0,0,45.28,否（相似度過低）
跆拳道班(優惠課程)|(SIC250266),跆拳道班(優惠課程)|(SIC250309),,0.8636,51.82,12,10,0,0,4,77.82,否
柔道班|(SIC250265),柔道班|(SIC260002),,0.8,48,0,0,0,0,0,48,否（相似度過低）
(個別)合唱團表演班|(SIC250264),合唱團表演班|(SIC260004),,0.75,45,0,0,0,0,0,45,否（相似度過低）
成人拉丁舞|(SIC250263),成人拉丁舞|(SIC260006),,0.8235,49.41,0,0,0,0,0,49.41,否（相似度過低）
明珠國語金曲班|(SIC250260),(長者)健體八段錦(優惠課程)|(SIC250297),,0.4348,26.09,0,0,0,0,0,26.09,否（相似度過低）
明珠國語金曲班|(SIC250260),(長者)太極劍(優惠課程)|(SIC260001),,0.4091,24.55,0,0,0,0,0,24.55,否（相似度過低）
明珠國語金曲班|(SIC250260),懷舊國語金曲班|(SIC250254),,0.7895,47.37,0,0,0,0,0,47.37,否（相似度過低）
明珠國語金曲班|(SIC250260),健體八段錦(優惠課程)|(SIC250185),,0.4286,25.71,0,0,0,0,0,25.71,否（相似度過低）
(舊生優先)蘇州鼓|(SIC250259),蘇州鼓|(SIC250310),,0.6667,40,0,0,0,0,0,40,否（相似度過低）
成人水彩畫課程(優惠課程)|(SIC250258),成人鉛筆素描課程(優惠課程)|(SIC250295),,0.8235,49.41,0,0,0,0,0,49.41,否（相似度過低）
成人水彩畫課程(優惠課程)|(SIC250258),(延至26/11)成人肚皮舞課程(優惠課程)|(SIC250255),,0.7119,42.71,0,0,0,0,0,42.71,否（相似度過低）
初級瑜伽課程H(四)|(SIC250257),初級瑜伽課程H(四)|(SIC250300),,0.8636,51.82,12,10,8,0,4,85.82,是
初級瑜伽課程H(四)|(SIC250257),初級瑜伽課程K(一)|(SIC250288),,0.8182,49.09,0,0,0,0,0,49.09,否（相似度過低）
初級瑜伽課程H(四)|(SIC250257),初級瑜伽課程A(三)|(SIC250268),,0.8182,49.09,0,0,0,0,0,49.09,否（相似度過低）
初級瑜伽課程K(一)|(SIC250251),初級瑜伽課程H(四)|(SIC250300),,0.7727,46.36,0,0,0,0,0,46.36,否（相似度過低）
初級瑜伽課程K(一)|(SIC250251),初級瑜伽課程K(一)|(SIC250288),,0.9091,54.55,12,10,8,0,4,88.55,是
初級瑜伽課程K(一)|(SIC250251),初級瑜伽課程A(三)|(SIC250268),,0.8182,49.09,0,0,0,0,0,49.09,否（相似度過低）
養生詠春拳進階班(優惠課程)|(SIC250250),養生詠春拳進階班(優惠課程)|(SIC260005),,0.8462,50.77,12,10,8,0,4,84.77,否
自選歌曲唱歌班|(SIC250248),自選歌曲唱歌班|(SIC250291),,0.8947,53.68,12,10,8,0,4,87.68,是
自選歌曲唱歌班|(SIC250248),流行粵語金曲課程|(SIC250272),,0.5641,33.85,0,0,0,0,0,33.85,否（相似度過低）
流行粵語金曲合唱表演班(三)|(SIC250247),自選歌曲唱歌班|(SIC250291),,0.5778,34.67,0,0,0,0,0,34.67,否（相似度過低）
