A_课程名称,B_课程名称,导师,总分,主体名称得分,附加加分,匹配备注
成人羽毛球B(優惠課程)|(SIC250292),成人羽毛球B(優惠課程)|(SIC250312),,95,55,40,匹配成功（最佳得分）
兒童硬筆書法班(優惠課程)|(SIC250278),兒童硬筆書法班(優惠課程)|(SIC250298),,97.6,57.6,40,匹配成功（最佳得分）
(新生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第一期)|(SIC250277),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,88.12,54.12,34,匹配成功（最佳得分）
初級瑜伽課程H(四)|(SIC250257),初級瑜伽課程H(四)|(SIC250300),,85.82,51.82,34,匹配成功（最佳得分）
初級瑜伽課程K(一)|(SIC250251),初級瑜伽課程K(一)|(SIC250288),,88.55,54.55,34,匹配成功（最佳得分）
自選歌曲唱歌班|(SIC250248),自選歌曲唱歌班|(SIC250291),,87.68,53.68,34,匹配成功（最佳得分）
輕鬆健體瑜伽課程I(二)|(SIC250241),輕鬆健體瑜伽課程I(二)|(SIC250281),,91.5,57.5,34,匹配成功（最佳得分）
成人鉛筆素描課程(優惠課程)|(SIC250232),成人鉛筆素描課程(優惠課程)|(SIC250295),,89.38,55.38,34,匹配成功（最佳得分）
(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250223),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,90.47,56.47,34,匹配成功（最佳得分）
I LOVE PHONICS B(中班)(優惠課程)|(SIC250221),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,90.84,56.84,34,匹配成功（最佳得分）
輕鬆健體瑜伽課程E(三)|(SIC250209),輕鬆健體瑜伽課程E(三)|(SIC250267),,89,55,34,匹配成功（最佳得分）
懷舊國語金曲班|(SIC250203),懷舊國語金曲班|(SIC250254),,87.68,53.68,34,匹配成功（最佳得分）
養生佛掌拳班(長者)(優惠課程)|(SIC250201),養生佛掌拳班(長者)(優惠課程)|(SIC250289),,89.71,55.71,34,匹配成功（最佳得分）
(長者)太極劍(優惠課程)|(SIC250190),(長者)太極劍(優惠課程)|(SIC260001),,86.8,52.8,34,匹配成功（最佳得分）
